,Pesos,Condutância
278,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.69
279,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.63
280,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.58
281,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.52
282,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
283,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
284,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
285,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
286,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
287,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
288,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
289,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
290,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.19
291,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.17
292,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.15
293,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.13
294,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.11
295,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.10
296,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.09
297,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.08
298,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.07
299,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.06
300,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.05
301,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
302,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
303,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
304,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.03
305,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.03
306,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.02
307,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.02
308,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.02
309,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.01
310,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.01
311,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.01
312,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.01
313,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.01
314,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.01
315,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.01
316,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.01
317,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
318,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
319,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
320,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
321,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
322,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
323,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
324,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.00
325,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.00
326,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.84 0.00
327,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.78 0.00
328,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.73 0.00
329,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.67 0.00
330,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.61 0.00
331,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.56 0.00
332,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.51 0.00
333,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.46 0.00
334,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.42 0.00
335,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.37 0.00
336,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.34 0.00
337,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.30 0.00
338,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.27 0.00
339,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.24 0.00
340,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.21 0.00
341,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.19 0.00
342,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.17 0.00
343,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.15 0.00
344,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.13 0.00
345,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.12 0.00
346,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.10 0.00
347,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.09 0.00
348,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.08 0.00
349,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.07 0.00
350,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
351,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
352,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.05 0.00
353,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
354,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
355,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.00
356,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.00
357,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
358,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
359,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
360,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
361,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
362,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
363,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
364,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
365,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
